academia_1,rede_1,cidade_1,estado_1,academia_2,rede_2,cidade_2,estado_2,distancia_km
Flamengo,Bluefit,Rio de Janeiro,Rio de Janeiro,BARÃO DE ITAMBÍ,Selfit,Rio de Janeiro,Rio de Janeiro,0.896
Flamengo,Bluefit,Rio de Janeiro,Rio de Janeiro,Largo do Machado,Smartfit,Rio de Janeiro,Rio de Janeiro,0.427
Flamengo,Bluefit,Rio de Janeiro,Rio de Janeiro,Marquês de Abrantes,Smartfit,Rio de Janeiro,Rio de Janeiro,0.188
Flamengo,Bluefit,Rio de Janeiro,Rio de Janeiro,Senador Vergueiro,Smartfit,Rio de Janeiro,Rio de Janeiro,0.212
Saens Peña,Bluefit,Rio de Janeiro,Rio de Janeiro,CONDE DE BONFIM,Selfit,Rio de Janeiro,Rio de Janeiro,0.715
Saens Peña,Bluefit,Rio de Janeiro,Rio de Janeiro,SHOPPING TIJUCA,BodyTech,Rio de Janeiro,Rio de Janeiro,0.408
Saens Peña,Bluefit,Rio de Janeiro,Rio de Janeiro,Rua Conde de Bonfim II,Smartfit,Rio de Janeiro,Rio de Janeiro,0.733
Saens Peña,Bluefit,Rio de Janeiro,Rio de Janeiro,Av. Maracanã I,Smartfit,Rio de Janeiro,Rio de Janeiro,0.479
Saens Peña,Bluefit,Rio de Janeiro,Rio de Janeiro,Rua Conde de Bonfim I,Smartfit,Rio de Janeiro,Rio de Janeiro,0.018
Saens Peña,Bluefit,Rio de Janeiro,Rio de Janeiro,Av. Maracanã II,Smartfit,Rio de Janeiro,Rio de Janeiro,0.92
Nilópolis,Bluefit,Nilópolis,Rio de Janeiro,Carmela Dutra,Smartfit,Nilópolis,Rio de Janeiro,0.309
Recreio,Bluefit,Rio de Janeiro,Rio de Janeiro,Guiomar Novaes,Smartfit,Rio de Janeiro,Rio de Janeiro,0.749
Recreio,Bluefit,Rio de Janeiro,Rio de Janeiro,RECREIO – RIO DE JANEIRO (RJ),Skyfit,Rio de Janeiro,Rio de Janeiro,0.958
São José dos Campos – Vale Sul,Bluefit,São José dos Campos,São Paulo,Aquarius,Smartfit,São José dos Campos,São Paulo,0.983
São José dos Campos – Vale Sul,Bluefit,São José dos Campos,São Paulo,Satelite,Smartfit,São José dos Campos,São Paulo,0.982
São José dos Campos – Vale Sul,Bluefit,São José dos Campos,São Paulo,SJC SATÉLITE,Panobianco,São José dos Campos,São Paulo,0.446
