estado,pares_proximos
Rio de Janeiro,184
Minas Gerais,45
São Paulo,448
Paraná,12
Santa Catarina,19
Goiás,24
Distrito Federal,52
Bahia,27
Mato Grosso do Sul,1
Tocantins,1
Mato Grosso,6
Alagoas,4
Paraíba,6
Ceará,37
Pará,11
Amazonas,9
Acre,1
Rio Grande do Norte,12
Pernambuco,61
Maranhão,17
State of Santa Catarina,0
Sergipe,1
Piauí,9
State of São Paulo,2
,0
Rio Grande do Sul,1
Amapá,1
Leiria District,2
State of Rio de Janeiro,3
Baja California Sur,0
State of Bahia,1
Espírito Santo,5
Federal District,0
State of Rio Grande do Norte,0
Rondônia,0
Roraima,1
State of Maranhão,0
,2
State of Pernambuco,0
State of Goiás,0
Île-de-France,0
