id,rede,nome,endereco,cidade,estado,cep,telefone,latitude,longitude,horarios,servicos,link_matricula,data_criacao,data_atualizacao,bairro_cdn,cidade_cdn,estado_cdn,pais_cdn,beneficios,campo_inexistente,horario_funcionamento,modalidades,outro_campo,planos,preco_mensalidade
1,Bluefit,Flamengo,"Rua Senador Vergueiro, 35 Flamengo, Rio de Janeiro - RJ",,,,,-22.9341605,-43.1757575,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:29.759346,Flamengo,Rio de Janeiro,Rio de Janeiro,Brazil,,,,,,,
2,Bluefit,Saens Peña,"Rua Conde de Bonfim, 422 Tijuca, Rio de Janeiro - RJ",,,,,-22.9251951,-43.2346116,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:30.764120,Tijuca,Rio de Janeiro,Rio de Janeiro,Brazil,,,,,,,
3,Bluefit,Nilópolis,"Av. Getúlio Vargas, 1336 Centro, Nilópolis - RJ",,,,,-22.8097381,-43.4166488,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:31.739691,Centro,Nilópolis,Rio de Janeiro,Brazil,,,,,,,
4,Bluefit,Recreio,"Av. das Américas, 16701 Recreio dos Bandeirantes, Rio de Janeiro - RJ",,,,,-23.0173942,-43.4762191,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:32.735221,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,Brazil,,,,,,,
5,Bluefit,Juiz de Fora - São Mateus,"AV PRESIDENTE ITAMAR FRANCO, 2905 SAO MATEUS, Juiz de Fora - MG",,,,,-21.7783807,-43.3587724,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:33.720902,São Mateus,Juiz de Fora,Minas Gerais,Brazil,,,,,,,
6,Bluefit,São José dos Campos – Vale Sul,"Av. Andrômeda, 227 Jardim Satélite, São José dos Campos - SP",,,,,-23.2166775,-45.8926807,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:34.741402,Jardim Satélite,São José dos Campos,São Paulo,Brazil,,,,,,,
7,Bluefit,São José dos Campos - Aquarius,"Av. Cassiano Ricardo, 521 Parque Residencial Aquarius, São José dos Campos - SP",,,,,-23.2182487,-45.9099854,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:35.732331,Jardim Alvorada,São José dos Campos,São Paulo,Brazil,,,,,,,
8,Bluefit,Mogi das Cruzes,"Av. Antônio de Almeida, 100 Jd. Marica, Mogi das Cruzes - SP",,,,,-23.512176,-46.1809037,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:36.780355,Jardim Marica,Mogi das Cruzes,São Paulo,Brazil,,,,,,,
9,Bluefit,Savassi Mall,"R. Sergipe, 1448 Savassi, Belo Horizonte - MG",,,,,-19.9393108,-43.9387744,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:37.749773,Funcionários,Belo Horizonte,Minas Gerais,Brazil,,,,,,,
10,Bluefit,Guarujá,"Av. Dom Pedro I, 2220 Enseada, Guarujá - SP",,,,,-23.9822973,-46.2301588,{},[],,2025-08-27 21:20:05.345233,2025-08-29 13:19:38.714662,Jardim Belmar,Guarujá,São Paulo,Brazil,,,,,,,
