id,rede,nome,latitude,longitude,estado_cdn,academias_proximas_1km
1,Bluefit,Flamengo,-22.9341605,-43.1757575,Rio de Janeiro,4
2,Bluefit,Saens Peña,-22.9251951,-43.2346116,Rio de Janeiro,6
3,Bluefit,Nilópolis,-22.8097381,-43.4166488,Rio de Janeiro,1
4,Bluefit,Recreio,-23.0173942,-43.4762191,Rio de Janeiro,2
5,Bluefit,Juiz de Fora - São Mateus,-21.7783807,-43.3587724,Minas Gerais,0
6,Bluefit,São José dos Campos – Vale Sul,-23.2166775,-45.8926807,São Paulo,3
7,Bluefit,São José dos Campos - Aquarius,-23.2182487,-45.9099854,São Paulo,1
8,Bluefit,Mogi das Cruzes,-23.512176,-46.1809037,São Paulo,1
9,Bluefit,Savassi Mall,-19.9393108,-43.9387744,Minas Gerais,4
10,Bluefit,Guarujá,-23.9822973,-46.2301588,São Paulo,0
11,Bluefit,Pimentas,-23.455774,-46.4093518,São Paulo,0
12,Bluefit,Palmares,-19.8697195,-43.9283746,Minas Gerais,2
13,Bluefit,Santos 3,-23.9717678,-46.3106119,São Paulo,1
14,Bluefit,Santos 1,-23.9680276,-46.3234583,São Paulo,2
15,Bluefit,Santos 2,-23.9686464,-46.3352031,São Paulo,2
16,Bluefit,Shopping Pátio Iporanga,-23.9648313,-46.332394,São Paulo,4
17,Bluefit,Tambores,-23.951428,-46.3740539,São Paulo,1
18,Bluefit,São Vicente,-23.9642138,-46.3831424,São Paulo,2
19,Bluefit,Aricanduva,-23.5664716,-46.5120321,São Paulo,2
20,Bluefit,Emílio Ribas,-23.4662968,-46.5447634,São Paulo,0
21,Bluefit,Vila Galvão,-23.4515967,-46.5513459,São Paulo,1
22,Bluefit,Carijós,-23.6787933,-46.5208113,São Paulo,0
23,Bluefit,Praia Grande,-24.008532,-46.4140629,São Paulo,4
24,Bluefit,Canto do Forte,-24.0045113,-46.4085648,São Paulo,5
25,Bluefit,Anália Franco,-23.5511757,-46.5621396,São Paulo,2
26,Bluefit,Fernando Prestes,-23.6630751,-46.5303661,São Paulo,1
27,Bluefit,São Caetano,-23.6269381,-46.5483081,São Paulo,2
28,Bluefit,Atlântica,-23.668537,-46.5519783,São Paulo,1
29,Bluefit,Marechal,-23.7076427,-46.5512188,São Paulo,2
30,Bluefit,Vila Guilherme,-23.5034171,-46.6034467,São Paulo,0
31,Bluefit,Mooca 1,-23.5553674,-46.6005944,São Paulo,0
32,Bluefit,Mooca 2,-23.5676812,-46.5968317,São Paulo,0
33,Bluefit,Tremembé,-23.4575441,-46.6177702,São Paulo,1
34,Bluefit,Demarchi,-23.7348556,-46.5534224,São Paulo,0
35,Bluefit,Santana,-23.489662,-46.6240806,São Paulo,2
36,Bluefit,Tancredo,-23.6057865,-46.6054633,São Paulo,1
37,Bluefit,Vila das Mercês,-23.6273213,-46.6065608,São Paulo,0
38,Bluefit,Liviero,-23.6476154,-46.5966904,São Paulo,0
39,Bluefit,Alfredo Pujol,-23.5004943,-46.6376886,São Paulo,1
40,Bluefit,Centro 2,-23.5414964,-46.642129,São Paulo,4
41,Bluefit,Maria Antônia,-23.5468677,-46.6501304,São Paulo,5
42,Bluefit,Centro 1,-23.5514384,-46.6447988,São Paulo,5
43,Bluefit,Diadema,-23.6928607,-46.6210102,São Paulo,2
44,Bluefit,Perdizes,-23.535556,-46.6650554,São Paulo,2
45,Bluefit,Frei Caneca,-23.5570181,-46.657105,São Paulo,7
46,Bluefit,Saúde,-23.6239505,-46.6402609,São Paulo,2
47,Bluefit,Freguesia do Ó,-23.504273,-46.6758439,São Paulo,0
48,Bluefit,Pinheiros,-23.5582634,-46.6793196,São Paulo,1
49,Bluefit,Hélio Pellegrino,-23.5987905,-46.6723536,São Paulo,4
50,Bluefit,Vila Olímpia,-23.5986019,-46.6851743,São Paulo,2
51,Bluefit,Brooklin,-23.6199797,-46.6950318,São Paulo,1
52,Bluefit,Verbo Divino,-23.633183,-46.7051783,São Paulo,0
53,Bluefit,Leopoldina,-23.5300911,-46.7312631,São Paulo,2
54,Bluefit,Butantã,-23.5845477,-46.7190979,São Paulo,2
55,Bluefit,Shopping Continental,-23.5474428,-46.7570686,São Paulo,1
56,Bluefit,Portal do Morumbi,-23.6186609,-46.7411247,São Paulo,0
57,Bluefit,Osasco,-23.5381745,-46.7733577,São Paulo,3
58,Bluefit,KM 18,-23.5273893,-46.7993643,São Paulo,2
59,Bluefit,Novo Osasco,-23.5728624,-46.8043632,São Paulo,1
60,Bluefit,Tamboré,-23.488682,-46.8333063,São Paulo,0
61,Bluefit,XV de Novembro,-23.1877164,-46.8788165,São Paulo,1
62,Bluefit,Carapicuíba,-23.5530637,-46.8374162,São Paulo,1
63,Bluefit,Granja Viana,-23.582666,-46.837736,São Paulo,1
64,Bluefit,Av. 9 de Julho,-23.2031759,-46.8934778,São Paulo,1
65,Bluefit,Barueri,-23.5061707,-46.8676243,São Paulo,0
66,Bluefit,Cotia,-23.609122,-46.9234293,São Paulo,1
67,Bluefit,Shopping Central Park,-23.6428329,-46.9915545,São Paulo,0
68,Bluefit,Sumaré,-22.8235251,-47.2695401,São Paulo,3
69,Bluefit,Itu,-23.2616384,-47.2949746,São Paulo,0
70,Bluefit,Av. Moreira César,-23.5043832,-47.4656316,São Paulo,1
71,Bluefit,Campolim 1,-23.5388603,-47.4681283,São Paulo,1
72,Bluefit,Piracicaba,-22.7269227,-47.623093,São Paulo,0
73,Bluefit,Piracicaba II - Vila Rezende,-22.7154412,-47.6577161,São Paulo,0
74,Bluefit,São Carlos,-22.0191447,-47.9096561,São Paulo,1
75,Bluefit,Biagi,-21.2060125,-47.7922616,São Paulo,0
76,Bluefit,Apogeo,-21.1968576,-47.8081684,São Paulo,2
77,Bluefit,Nova Aliança,-21.217934,-47.81657,São Paulo,0
78,Bluefit,Campos Elíseos - Pré Venda,-21.1602402,-47.8139907,São Paulo,1
79,Bluefit,Araxá,-19.6154279,-46.9387972,Minas Gerais,0
80,Bluefit,Botucatu,-22.8812294,-48.4440489,São Paulo,0
81,Bluefit,Patos de Minas,-18.58126,-46.515524,Minas Gerais,0
82,Bluefit,Uberaba Centro,-19.7515218,-47.9260234,Minas Gerais,0
83,Bluefit,Bauru,-22.3491862,-49.0534217,São Paulo,1
84,Bluefit,Jockey Plaza,-25.4278269,-49.2151274,Paraná,0
85,Bluefit,Jardim das Américas,-25.4660731,-49.2216388,Paraná,0
86,Bluefit,Mueller,-25.4233736,-49.2705198,Paraná,0
87,Bluefit,Andaló,-20.8166816,-49.3813891,São Paulo,1
88,Bluefit,Curitiba - Centro,-25.4378722,-49.2787963,Paraná,3
89,Bluefit,Batel,-25.443978,-49.283774,Paraná,3
90,Bluefit,Champagnat,-25.4339281,-49.3025294,Paraná,0
91,Bluefit,Portão,-25.4703668,-49.2939246,Paraná,1
92,Bluefit,Palladium,-25.477853,-49.2907974,Paraná,1
93,Bluefit,Joinville,-26.3072542,-48.8447495,Santa Catarina,1
94,Bluefit,Uberlândia,-18.9213277,-48.2684782,Minas Gerais,0
95,Bluefit,Marília,-22.2155073,-49.9482651,São Paulo,1
96,Bluefit,Campo Largo,-25.458235,-49.5271765,Paraná,0
97,Bluefit,Catalão,-18.169104,-47.9316939,Goiás,0
98,Bluefit,Ponta Grossa,-25.0948446,-50.1520549,Paraná,0
99,Bluefit,Londrina Norte Shopping,-23.2860351,-51.1521686,Paraná,0
100,Bluefit,Presidente Prudente,-22.1374179,-51.3962287,São Paulo,0
101,Bluefit,Maringá,-23.410786,-51.9399471,Paraná,0
102,Bluefit,Valparaíso,-16.0749605,-48.0035314,Goiás,0
103,Bluefit,Santa Maria,-19.972642,-44.0476379,Minas Gerais,0
104,Bluefit,Jardim Botânico,-15.8837688,-47.8154548,Distrito Federal,0
105,Bluefit,Vitória da Conquista,-14.8610701,-40.8288605,Bahia,0
106,Bluefit,Gama,-15.708703,-47.9143752,Distrito Federal,3
107,Bluefit,Formosa,-15.5428473,-47.3403362,Goiás,1
108,Bluefit,Lago,-15.8263204,-47.8876107,Distrito Federal,1
109,Bluefit,Paranoá,-15.7495747,-47.819983,Distrito Federal,0
110,Bluefit,Riacho Fundo,-15.7787864,-48.0005271,Distrito Federal,0
111,Bluefit,513 SUL,-15.8271753,-47.9101552,Distrito Federal,2
112,Bluefit,502 Sul,-15.8015894,-47.8943275,Distrito Federal,1
113,Bluefit,Guará,-15.8377593,-47.9792583,Distrito Federal,2
114,Bluefit,Asa Norte,-15.7878585,-47.8841141,Distrito Federal,1
115,Bluefit,Park Sul,-15.8220418,-47.953608,Distrito Federal,0
116,Bluefit,Sudoeste,-15.8338605,-48.0836135,Distrito Federal,0
117,Bluefit,Águas Claras,-15.8367103,-48.0329059,Distrito Federal,3
118,Bluefit,EPTG,-15.8093649,-47.9857228,Distrito Federal,0
119,Bluefit,Planaltina,-15.708703,-47.9143752,Distrito Federal,3
120,Bluefit,Águas Claras II,-15.8335193,-48.0138888,Distrito Federal,4
121,Bluefit,Taguatinga Sul,-15.85181,-48.04185,Distrito Federal,1
122,Bluefit,Samambaia,-15.8797462,-48.0855132,Distrito Federal,1
123,Bluefit,Águas Claras III,-15.8418731,-48.0314442,Distrito Federal,1
124,Bluefit,Av. Rio Verde,-16.7401787,-49.2740718,Goiás,0
125,Bluefit,Alto da Glória,-16.6521779,-49.188767,Goiás,1
126,Bluefit,Alto Bueno T4,-16.7100584,-49.2670868,Goiás,3
127,Bluefit,Asa Norte 516,-15.753456,-47.8941562,Distrito Federal,2
128,Bluefit,Jardim Goiás,-16.7045563,-49.2398795,Goiás,1
129,Bluefit,Taguatinga,-15.8235068,-48.0618557,Distrito Federal,2
130,Bluefit,Av. 85,-16.7093172,-49.2642484,Goiás,3
131,Bluefit,Sobradinho,-15.6763108,-47.826099,Distrito Federal,0
132,Bluefit,T8,-16.6962962,-49.2760949,Goiás,1
133,Bluefit,Praça do Sol,-16.6892994,-49.2682335,Goiás,3
134,Bluefit,República do Líbano,-16.6827314,-49.2658238,Goiás,3
135,Bluefit,Vicente Pires II,-15.8029864,-48.032992,Distrito Federal,0
136,Bluefit,Vicente Pires,-15.7934591,-48.0509824,Distrito Federal,0
137,Bluefit,Setor Coimbra,-16.6871607,-49.2823427,Goiás,1
138,Bluefit,Estação da Moda,-16.6598786,-49.2596909,Goiás,1
139,Bluefit,Av. Milão,-16.7112113,-49.3149023,Goiás,1
140,Bluefit,Ceilândia,-15.806783,-48.1158446,Distrito Federal,1
141,Bluefit,Portal Shopping,-16.6545382,-49.3297188,Goiás,0
142,Bluefit,Anápolis,-16.3348979,-48.9438306,Goiás,0
143,Bluefit,Av. Universitária,-16.3099555,-48.9497087,Goiás,1
144,Bluefit,Cidade Rio Verde,-17.8003121,-50.9427981,Goiás,1
145,Bluefit,Umuarama,-23.7622072,-53.3124058,Paraná,0
146,Bluefit,Cascavel,-24.9399791,-53.4420786,Paraná,0
147,Bluefit,Toledo,-24.7346873,-53.7591777,Paraná,0
148,Bluefit,Dourados,-22.225972,-54.788261,Mato Grosso do Sul,0
149,Bluefit,Graça,-12.9982148,-38.5205159,Bahia,1
150,Bluefit,Caminho das Árvores,-12.9792019,-38.4561128,Bahia,4
151,Bluefit,Barreiras,-12.1421168,-44.9776614,Bahia,1
152,Bluefit,Afonso Pena,-20.4562118,-54.6671849,Mato Grosso do Sul,0
153,Bluefit,Av. Mato Grosso,-20.450961,-54.5864941,Mato Grosso do Sul,0
154,Bluefit,Campo Grande Centro,-20.4682999,-54.6123199,Mato Grosso do Sul,0
155,Bluefit,São Francisco,-20.4442694,-54.6159103,Mato Grosso do Sul,0
156,Bluefit,Gurupi,-11.7353106,-49.0953507,Tocantins,0
157,Bluefit,Palmas Sul,-10.2184144,-48.3302223,Tocantins,1
158,Bluefit,Palmas Centro,-10.1961011,-48.3139582,Tocantins,0
159,Bluefit,Av. CPA,-15.5846734,-56.0806461,Mato Grosso,1
160,Bluefit,Várzea Grande,-15.6487728,-56.1290553,Mato Grosso,0
161,Bluefit,Santa Rosa,-15.5862433,-56.1152826,Mato Grosso,2
162,Bluefit,Maceió,-9.6554722,-35.7059232,Alagoas,2
163,Bluefit,Maceió Farol,-9.6358117,-35.7338211,Alagoas,0
164,Bluefit,Sinop,-11.857836,-55.5079867,Mato Grosso,0
165,Bluefit,Araguaína,-7.2027595,-48.2078331,Tocantins,0
166,Bluefit,Patos,-7.0220629,-37.2790845,Paraíba,0
167,Bluefit,Campina Grande,-7.2255168,-35.8843731,Paraíba,1
168,Bluefit,Epitacio Pessoa,-7.1200316,-34.8580457,Paraíba,2
169,Bluefit,Tambaú Orla,-7.1178217,-34.8235213,Paraíba,1
170,Bluefit,Manaíra - Liv Mall,-7.0970981,-34.8391765,Paraíba,2
171,Bluefit,Aldeota,-3.7390075,-38.5077433,Ceará,4
172,Bluefit,Varanda,-3.7351762,-38.4923186,Ceará,5
173,Bluefit,Batista Campos,-1.4596949,-48.4929031,Pará,2
174,Bluefit,Nazaré,-19.8510003,-43.8945357,Minas Gerais,0
175,Bluefit,Doca,-1.4432073,-48.4923427,Pará,3
176,Bluefit,Cidade Nova,-19.8856443,-43.9276355,Minas Gerais,2
177,Bluefit,Augusto Montenegro,-1.3550696,-48.4531587,Pará,1
178,Bluefit,Adrianópolis - pré venda,-3.1144891,-60.0163702,Amazonas,3
179,Bluefit,Av. Efigênio Salles - Pré-venda,-3.0864258,-60.0050264,Amazonas,0
180,Bluefit,Av. Darcy Vargas,-3.0932211,-60.0239562,Amazonas,2
181,Bluefit,Av. Noel Nutels,-3.0294975,-59.9819906,Amazonas,0
182,Bluefit,Village,-9.9597925,-67.8213451,Acre,1
183,Bluefit,Estrada da Floresta,-9.9779541,-67.8360408,Acre,0
184,Bluefit,Fernando Corrêa,-15.6172507,-56.0711912,Mato Grosso,0
185,Selfit,ABEL CABRAL,-5.8783666,-35.2093407,Rio Grande do Norte,0
186,Selfit,AÇAILÂNDIA,-10.1696423,-48.8928210,Tocantins,0
187,Selfit,AFOGADOS,-8.0797119,-34.908016,Pernambuco,0
188,Selfit,ALAGOINHAS,-12.1317391,-38.4203808,Bahia,0
189,Selfit,ALDEOTA,-3.7392309,-38.4965539,Ceará,6
190,Selfit,ANANINDEUA,-1.3621226,-48.4264606,Pará,2
191,Selfit,ANIL,-2.5530708,-44.2459754,Maranhão,0
192,Selfit,ANJO DA GUARDA,-2.5650476,-44.3320448,Maranhão,0
193,Selfit,ANTÔNIO BASÍLIO,-5.8109794,-35.2172081,Rio Grande do Norte,1
194,Selfit,ANTÔNIO CASSIMIRO,-9.3683924,-40.5140097,Pernambuco,0
195,Selfit,ARACATI,-4.5735358,-37.7756888,Ceará,0
196,Selfit,ARAPANÉS,-23.6039566,-46.6643372,São Paulo,5
197,Selfit,ARAPIRACA,-26.0713721,-48.6178349,State of Santa Catarina,0
198,Selfit,ARCOVERDE,-8.033735,-34.9065817,Pernambuco,5
199,Selfit,ARENA DAS DUNAS,-5.8263835,-35.2127862,Rio Grande do Norte,1
200,Selfit,ARIRIZAL,-2.513393,-44.241154,Maranhão,2
201,Selfit,ARRUDA,-8.0266014,-34.8972002,Pernambuco,0
