id_1,rede_1,nome_1,id_2,rede_2,nome_2,distancia_km,estado
1,Bluefit,Flamengo,211,Selfit,BARÃO DE ITAMBÍ,0.896,Rio de Janeiro
1,Bluefit,Flamengo,1017,Smartfit,Largo do Machado,0.427,Rio de Janeiro
1,Bluefit,Flamengo,1019,Smartfit,Marquês de Abrantes,0.188,Rio de Janeiro
1,Bluefit,Flamengo,1020,Smartfit,Senador Vergueiro,0.212,Rio de Janeiro
2,Bluefit,Saens Peña,246,Selfit,CONDE DE BONFIM,0.715,Rio de Janeiro
2,Bluefit,Saens Peña,444,BodyTech,SHOPPING TIJUCA,0.408,Rio de Janeiro
2,Bluefit,Saens Peña,987,Smartfit,Rua Conde de Bonfim II,0.733,Rio de Janeiro
2,Bluefit,Saens Peña,988,Smartfit,Av. Maracanã I,0.479,Rio de Janeiro
2,Bluefit,Saens Peña,992,Smartfit,Rua Conde de Bonfim I,0.018,Rio de Janeiro
2,Bluefit,Saens Peña,996,Smartfit,Av. Maracanã II,0.92,Rio de Janeiro
3,Bluefit,Nilópolis,939,Smartfit,Carmela Dutra,0.309,Rio de Janeiro
4,Bluefit,Recreio,906,Smartfit,Guiomar Novaes,0.749,Rio de Janeiro
4,Bluefit,Recreio,1695,Skyfit,RECREIO – RIO DE JANEIRO (RJ),0.958,Rio de Janeiro
6,Bluefit,São José dos Campos – Vale Sul,854,Smartfit,Aquarius,0.983,São Paulo
6,Bluefit,São José dos Campos – Vale Sul,856,Smartfit,Satelite,0.982,São Paulo
6,Bluefit,São José dos Campos – Vale Sul,2114,Panobianco,SJC SATÉLITE,0.446,São Paulo
7,Bluefit,São José dos Campos - Aquarius,854,Smartfit,Aquarius,0.886,São Paulo
8,Bluefit,Mogi das Cruzes,814,Smartfit,Av. Vereador Narciso,0.436,São Paulo
9,Bluefit,Savassi Mall,425,BodyTech,SAVASSI,0.882,Minas Gerais
9,Bluefit,Savassi Mall,1084,Smartfit,Avenida Prudente de Morais,0.959,Minas Gerais
9,Bluefit,Savassi Mall,1086,Smartfit,Savassi,0.241,Minas Gerais
9,Bluefit,Savassi Mall,1087,Smartfit,Rua Rio de Janeiro,0.974,Minas Gerais
12,Bluefit,Palmares,458,Pratique Fitness,Fernão Dias,0.749,Minas Gerais
12,Bluefit,Palmares,1098,Smartfit,Minas Shopping,0.45,Minas Gerais
13,Bluefit,Santos 3,830,Smartfit,Embaré,0.535,São Paulo
14,Bluefit,Santos 1,16,Bluefit,Shopping Pátio Iporanga,0.976,São Paulo
14,Bluefit,Santos 1,1835,Panobianco,BOQUEIRÃO,0.46,São Paulo
15,Bluefit,Santos 2,16,Bluefit,Shopping Pátio Iporanga,0.51,São Paulo
15,Bluefit,Santos 2,828,Smartfit,Ana Costa 1,0.195,São Paulo
16,Bluefit,Shopping Pátio Iporanga,826,Smartfit,Assaí Ana Costa,0.666,São Paulo
16,Bluefit,Shopping Pátio Iporanga,828,Smartfit,Ana Costa 1,0.446,São Paulo
17,Bluefit,Tambores,2091,Panobianco,SÃO VICENTE EMMERICH,0.16,São Paulo
18,Bluefit,São Vicente,821,Smartfit,Avenida Presidente Wilson,0.283,São Paulo
18,Bluefit,São Vicente,2090,Panobianco,SÃO VICENTE CENTRO,0.549,São Paulo
19,Bluefit,Aricanduva,726,Smartfit,Rio das Pedras,0.284,São Paulo
19,Bluefit,Aricanduva,2150,Panobianco,VILA ANTONIETA,0.553,São Paulo
21,Bluefit,Vila Galvão,2073,Panobianco,SANTA MENA,0.772,São Paulo
23,Bluefit,Praia Grande,24,Bluefit,Canto do Forte,0.715,São Paulo
23,Bluefit,Praia Grande,827,Smartfit,Pres. Costa e Silva,0.277,São Paulo
23,Bluefit,Praia Grande,1497,Skyfit,CANTO DO FORTE – PRAIA GRANDE (SP),0.447,São Paulo
23,Bluefit,Praia Grande,2021,Panobianco,PARIS,0.534,São Paulo
24,Bluefit,Canto do Forte,822,Smartfit,Litoral Plaza,0.938,São Paulo
24,Bluefit,Canto do Forte,827,Smartfit,Pres. Costa e Silva,0.507,São Paulo
24,Bluefit,Canto do Forte,1497,Skyfit,CANTO DO FORTE – PRAIA GRANDE (SP),0.281,São Paulo
